file,title,year,certainty
104184319,"Letter to the Reverend Mr. Michael Potter, minister of the gospel at Kippen, as an answer of his letter to the Reverend Mr. Ebenezer Erskine - L.C.2800.(8)",1738,
104184320,Copy of three letters - L.C.2800.(9),1740,
104184321,Help unto prayer - L.C.2801(1),1704,
104184322,"New comedy, or, A dialogue between the coalman and his son - L.C.2801(3)",1750,
104184323,Alerm [sic] to all bankrupt's in Scotland - L.C.2801(4),1750,uncertain
104184324,Explication of Thomas Rymer's prophecies - L.C.2801(5),1794,
104184325,Last guinea - L.C.2801.(2),1727,
104184326,Dialogue between a blind man and death - L.C.2802(4),1740,
104184327,Faith's plea upon God's covenant - L.C.2802(5),1774,
104184328,"Unpardonable sin against the Holy Ghost, or, The sin unto death - L.C.2802(6)",1774,
104184329,"Choice drop of honey from the rock, Christ, or A word of advice to saints and sinners - L.C.2802(7)",1789,
104184330,"Last publick sermon, being a faithful and free one, preached by Mr. Hugh Mackaile ... upon the Sabbath immediately preceeding that 8th of September 1662, the day affixed for the removing of the ministers of Edinburgh from their kirks - L.C.2802.(1)",1749,
104184332,"Last speech and testimony of John Finlay, who lived in Muirside in the parish of Kilmarnock, and suffered in the Grass-Market of Edinburgh, December 15. 1682 for his faithful adhering to the cause and interest of Christ - L.C.2802.(2)",1750,
104184333,Two godly letters of the pious martyr Mr. James Renwick - L.C.2802.(3),1751,
104184334,"Gospel discovery, or A poem on the life and death of our Lord and Saviour, Jesus Christ - L.C.2802.(8)",1780,
104184335,God's eye from heaven - L.C.2802.A(1),1671,
104184336,"Spiritual exercise of soul, and blessed departure of Dame Mary Rutherford Lady Hundaly, and Mary M'Konnel, cousin to the said lady; which fell out in the year 1640; both died in London - L.C.2802.A.(10)",1745,
104184337,Hidden things brought to light for the increase of knowledge in reading the Bible - L.C.2802.A.(11),1704,
104184338,"Door of salvation open'd, or, A loud and shirl [sic] voice from heaven, to unregenerate sinners on earth - L.C.2802.A.(12)",1747,
104184339,Perswasive to frequent communion - L.C.2802.A.(2),1688,
104184340,Short catechism with some passages of Scripture - L.C.2802.A.(3),1705,
104184341,Antidote against the infectious contagion of popery and tyranny - L.C.2802.A.(4),1745,
104184342,"Token for mourners, or, A sure guide to heaven and preparation for your latter-end - L.C.2802.A.(5)",1741,
104184343,"Riches of Christ, or, The glorious treasure of heavenly joys - L.C.2802.A.(6)",1747,
104184344,"Poem on the creation of the world, or, A meditation on the wonderful operation of the divine hand - L.C.2802.A.(7)",1751,
104184345,Larger catechism - L.C.2802.A.(8),1760,
104184346,Description of the true nature of schism - L.C.2802.A.(9),1745,uncertain
104184347,Ancient and modern history of Buck-haven in Fife-shire - L.C.2803(1),1800,
104184348,Wife of Beith - L.C.2803(10),1800,
104184349,Believer exalted in imputed righteousness - L.C.2803(11),1800,
104184350,"Jerusalem's captivities lamented, or, A plain description of Jerusalem - L.C.2803(12)",1800,
104184351,"Coalman's courtship to a creel wife's daughter, or, A dialogue between an old woman and her son - L.C.2803(13)",1800,
104184352,Witty and entertaining exploits of George Buchanan - L.C.2803(14),1809,
104184353,History and comical transactions of Lothian Tom - L.C.2803(2),1800,
104184354,Ancient and modern history of Buck-haven in Fife-shire - L.C.2803(3),1800,
